,Actual,Predicted from Decision_tree,,,Predicted from random_forest,,,Predicted from Xgboost
117,13.09,11.35142857,,,13.95450924,,,13.52793607
118,5.12,5.992222222,,,9.264054694,,,4.885671876
119,3.74,5.992222222,,,9.716601448,,,3.868583291
120,5.26,5.992222222,,,10.9855718,,,5.975641392
121,3.38,3.77,,,10.70766173,,,3.923392833
122,7.19,7.222222222,,,12.84698274,,,7.503835291
123,12.63,13.00142857,,,17.32794394,,,14.89708111
124,12.64,9.73,,,17.73007356,,,17.16793148
125,24.85,29.02273206,,,28.57927909,,,28.36044622
126,37.22,44.77470443,,,40.50172927,,,37.5525226
127,43.83,44.77470443,,,48.2032658,,,47.61791956
128,51.28,44.77470443,,,47.7008559,,,51.28850403
129,54.32,33.61285714,,,40.79602644,,,50.25567396
130,23.2,19.65560423,,,27.96409857,,,22.94307357
131,48.38,44.77470443,,,52.02625646,,,47.64694225
132,31.97,25.286875,,,32.75881605,,,33.82554941
133,51.73,58.73714286,,,49.82961432,,,51.59874607
134,48.9,44.77470443,,,48.53824685,,,48.57867891
135,48.76,50.221,,,48.91259486,,,49.98308198
136,69.12,66.46997973,,,69.19028499,,,68.1348883
137,49.35,66.46997973,,,59.73151935,,,50.04490627
138,58.87,66.46997973,,,62.0065638,,,59.90596012
139,63.48,53.00473684,,,67.64329905,,,63.51012237
140,28.22,13.10406456,,,27.14009414,,,25.96471356
141,17.13,13.10406456,,,22.35157059,,,14.5314808
142,15.68,25.286875,,,29.33772774,,,23.71791265
143,15.3,13.10406456,,,25.76820354,,,17.72047627
144,20.64,13.10406456,,,19.43843498,,,10.85194707
145,35.1,59.57714286,,,59.14089591,,,42.59061389
146,20.43,25.286875,,,37.21096623,,,25.66140595
147,23.44,25.286875,,,29.50370783,,,23.79543867
148,32.75,25.286875,,,24.53699327,,,14.91932734
149,61.97,35.27542495,,,36.72073421,,,30.55752001
150,66.38,66.46997973,,,57.27091461,,,52.49996698
151,46.79,35.27542495,,,43.32039722,,,36.82589207
152,29.77,66.46997973,,,50.17803314,,,44.29002794
153,19.56,35.27542495,,,31.2642169,,,22.57562029
154,12.57,25.286875,,,21.00656509,,,14.86707208
155,19.23,25.286875,,,24.94581507,,,18.95089337
156,22.71,29.02273206,,,22.09600403,,,19.70750276
157,36.89,29.02273206,,,29.70266263,,,34.96295574
158,54.66,58.73714286,,,53.17295846,,,53.44075848
159,13.95,19.00809524,,,20.04188749,,,16.02181994
160,10.2,13.10406456,,,17.05663189,,,13.15698339
161,24.69,25.286875,,,22.70069263,,,23.36109682
162,47.27,58.73714286,,,38.95667808,,,36.66860894
163,69.45,66.46997973,,,69.42908672,,,69.28293689
164,75.78,66.46997973,,,75.70469837,,,74.23846179
165,68.26,66.46997973,,,68.26566802,,,68.39990698
166,65.94,71.24857143,,,69.87398719,,,67.50033221
167,72.64,81.93857143,,,71.92830279,,,70.57825459
168,76.53,81.93857143,,,73.98196732,,,75.77538694
169,81.28,66.46997973,,,76.70582114,,,79.58819986
170,82.36,86.30375,,,76.76522191,,,82.38037368
171,105.63,100.106,,,96.07042673,,,102.4279168
172,98.34,108.5542857,,,94.8353003,,,98.58546548
173,99.51,108.5542857,,,94.91340251,,,99.89318643
174,87.05,86.30375,,,82.17534045,,,86.54673729
175,93.51,88.29363636,,,85.80696426,,,92.74349448
176,85.17,88.29363636,,,75.47852576,,,77.86600912
177,91.55,93.87333333,,,84.23281699,,,88.92319728
178,86.93,93.87333333,,,84.38528522,,,85.17235836
179,71.37,71.24857143,,,75.68891176,,,72.11455513
180,76.39,86.30375,,,80.76326435,,,80.07382072
181,91.43,100.106,,,92.33134002,,,92.25334888
182,92.92,93.87333333,,,86.07887037,,,91.46548574
183,109.52,100.106,,,96.3388696,,,106.5054032
184,70.12,66.46997973,,,72.65785835,,,69.41919947
185,33.75,33.61285714,,,40.81677585,,,33.44832926
186,45.38,44.77470443,,,44.72041143,,,45.97486358
187,62.6,66.46997973,,,69.76360581,,,65.10201022
188,84.41,88.29363636,,,78.74222615,,,83.5362825
189,68.34,71.24857143,,,74.38659284,,,68.87851318
190,97.23,82.33846137,,,85.11900006,,,97.12163413
191,87.19,86.30375,,,83.10238086,,,89.46909465
192,88.75,86.30375,,,85.33406616,,,88.01147727
193,109.4,149.1814286,,,103.4665204,,,112.4867198
194,99.73,93.87333333,,,90.97507339,,,90.80222426
195,64.01,71.77625,,,68.18958303,,,66.48634559
196,45.34,50.221,,,48.42268618,,,45.80371885
197,71.21,65.32285714,,,73.51883329,,,72.81283432
198,96.54,93.87333333,,,91.58040646,,,98.87704885
199,84.79,66.46997973,,,79.94315155,,,83.7982915
200,83.36,86.30375,,,78.73909727,,,79.3912103
201,85.93,86.30375,,,85.62684108,,,89.16967668
202,98.78,100.106,,,97.23169675,,,100.2979237
203,110.85,121.7681818,,,102.6785597,,,107.8948439
204,96.75,82.33846137,,,87.2977471,,,97.75479309
205,106.48,92.572,,,96.03798722,,,107.1258561
206,147.98,149.1814286,,,105.8547452,,,139.2875161
207,159.34,149.1814286,,,115.230348,,,154.2076832
208,90.12,44.32571429,,,72.40336707,,,78.33903843
209,97.7,93.87333333,,,85.90485689,,,92.14384114
210,84.19,86.30375,,,85.90569772,,,84.67075992
211,85.12,86.30375,,,80.40801733,,,85.38888275
212,90.09,86.30375,,,83.59716173,,,88.71254099
213,66.94,65.32285714,,,67.42196787,,,68.51473885
214,116.3,100.106,,,101.8231256,,,112.1389231
215,124.65,108.5542857,,,98.55230509,,,122.2007094
216,101.95,93.87333333,,,88.33287967,,,96.96911806
217,91.09,86.30375,,,76.99063053,,,86.52913077
218,94.37,93.87333333,,,86.0550739,,,96.63069432
219,66.59,65.32285714,,,69.84102837,,,77.70240613
220,106.54,85.385,,,96.57053123,,,104.4883973
221,66,50.221,,,57.09293353,,,66.60454815
222,65.78,71.77625,,,70.18306964,,,67.79255612
223,70.14,86.30375,,,74.96138584,,,72.87377989
224,83.12,86.30375,,,82.05879385,,,83.70060374
225,106.3,85.385,,,100.8254859,,,108.1857438
226,70.78,66.46997973,,,68.13778301,,,71.19594138
227,34.13,29.02273206,,,42.52891135,,,42.12733263
228,24.51,25.286875,,,32.86343493,,,24.48257674
229,33.32,25.286875,,,35.52958279,,,33.27430331
230,51.2,50.221,,,52.977927,,,50.21961924
231,96.4,93.87333333,,,87.21657696,,,94.26705234
232,108.04,87.56,,,96.08243153,,,96.66742758
233,109.26,95.245,,,105.9901525,,,109.6516569
234,107.36,87.56,,,98.38522824,,,105.3885054
235,90.23,87.56,,,93.42290293,,,93.21893802
236,103.22,95.245,,,99.73095795,,,100.6082108
237,91.88,87.56,,,93.49113807,,,95.0389098
238,108.27,95.245,,,96.51971843,,,97.95514947
239,122.41,95.245,,,100.7658994,,,121.7724721
240,40.89,33.61285714,,,41.45817456,,,42.65810648
241,19.19,14.54,,,25.06295515,,,21.84681293
242,20.01,33.61285714,,,33.13906,,,22.8378953
243,57.13,71.24857143,,,72.14344374,,,66.25169491
244,57.3,65.32285714,,,68.07548183,,,68.88637703
245,74.89,86.30375,,,79.41725678,,,76.70174618
246,88.82,100.106,,,86.51189748,,,90.07014394
247,84.02,86.30375,,,82.1352069,,,88.9281725
248,81.77,86.30375,,,74.91781665,,,81.15930448
249,62.39,74.4125,,,69.72013209,,,63.5318154
250,39.76,50.221,,,39.82733477,,,30.03759912
251,42.2,50.221,,,56.12901566,,,55.43400849
252,74.39,86.30375,,,77.32338715,,,73.31157884
253,77.74,60.79818182,,,71.7191194,,,75.61783542
254,65.44,60.79818182,,,68.08555646,,,70.84048945
255,69.74,86.30375,,,77.27102423,,,81.78030995
256,69.39,93.87333333,,,80.0711196,,,83.30902519
257,85.46,87.56,,,87.04322538,,,93.37033753
258,65.94,60.79818182,,,74.11064092,,,68.04498389
259,53.1,60.79818182,,,63.31152469,,,53.6834768
260,73.49,60.79818182,,,72.26726897,,,73.13954386
261,128.88,113.68,,,106.6874944,,,129.8588051
262,107.41,113.68,,,97.78050636,,,108.037218
263,125.7,113.68,,,96.25941388,,,110.624197
264,59.68,66.46997973,,,62.92022837,,,57.81128457
265,36.77,29.02273206,,,34.10582209,,,27.59343466
266,80.93,60.79818182,,,78.73997608,,,79.64723071
267,82.14,87.56,,,86.63009622,,,82.06424555
268,91.36,100.106,,,91.06065835,,,90.08282023
269,52.98,60.79818182,,,64.72584665,,,52.15955025
270,44.02,60.79818182,,,50.50491216,,,40.58663098
271,52.74,60.79818182,,,67.18863223,,,53.73592222
272,90.85,113.68,,,90.44957444,,,89.57869253
273,86.82,95.245,,,92.75032378,,,92.68742918
274,39.24,33.61285714,,,37.82480071,,,37.00448049
275,52.57,53.00473684,,,61.56380501,,,52.8936608
276,39.59,44.32571429,,,41.63691339,,,37.71421001
277,33.87,44.32571429,,,43.13600315,,,36.16137827
278,32.7,66.46997973,,,44.34688695,,,36.56132634
279,18.12,33.61285714,,,33.27955175,,,27.42573512
280,23.39,44.32571429,,,41.15697071,,,26.04854967
281,25.89,60.79818182,,,45.00019732,,,39.98919183
282,38.8,60.79818182,,,45.17412616,,,45.50480304
283,26.38,33.61285714,,,31.38058641,,,26.47582055
284,12.23,14.54,,,27.89086582,,,15.98704913
285,16.31,37.06625,,,29.70947089,,,16.84247934
286,24.05,33.61285714,,,36.50728283,,,23.41461637
287,32.31,60.79818182,,,42.06318333,,,31.35474702
288,52.72,60.79818182,,,71.54890227,,,55.7583804
289,64.76,87.56,,,81.83928781,,,80.67844082
290,85.16,95.245,,,89.94084239,,,86.14578659
291,44.5,44.77470443,,,54.22949022,,,42.71939119
292,27.88,29.02273206,,,32.63418255,,,30.02513339
293,15.61,13.00142857,,,21.20991651,,,13.46844058
294,20.4,29.02273206,,,25.54500738,,,19.48973451
295,20.05,14.54,,,21.37490497,,,22.0949895
296,25.27,14.54,,,21.58090572,,,22.15433049
297,38.92,35.27542495,,,35.99384251,,,39.86905999
298,33.97,14.54,,,25.70069397,,,30.47504497
299,26.54,21.70433333,,,20.14294617,,,23.68252225
300,28.22,13.32769231,,,22.74861376,,,25.73955538
301,31.71,13.32769231,,,23.57215395,,,21.95381028
302,24.18,13.32769231,,,23.48250074,,,22.70577437
303,25.01,29.02273206,,,23.68811147,,,27.39811145
304,26.27,29.02273206,,,21.99013081,,,24.40325447
305,21.28,14.54,,,21.4978969,,,23.52402272
306,28.38,29.02273206,,,24.37659795,,,27.99872119
307,26.26,28.93274709,,,26.14473087,,,27.14268919
308,27.39,29.02273206,,,25.05275844,,,28.55102138
309,29.09,29.02273206,,,25.71137748,,,29.33313419
310,21.7,21.70433333,,,18.95196902,,,20.54880716
311,25.95,35.27542495,,,28.84544274,,,29.54005214
312,33.68,35.27542495,,,33.36920074,,,34.48503941
313,31.11,35.27542495,,,30.94334011,,,29.41069794
314,26.04,35.27542495,,,30.32652551,,,30.16627805
315,24.07,29.02273206,,,25.33245633,,,25.34571827
316,43.72922961,35.27542495,,,30.79884626,,,38.52123018
317,43.72922961,35.27542495,,,31.44027098,,,42.1670851
318,43.72922961,35.27542495,,,34.34568436,,,42.06847812
319,43.72922961,35.27542495,,,34.61412207,,,44.67981481
320,43.72922961,27.59560423,,,31.45758645,,,43.26009868
321,43.72922961,35.27542495,,,33.43908717,,,39.48719762
322,43.72922961,35.27542495,,,32.45378798,,,38.26760054
323,43.72922961,35.27542495,,,29.7174824,,,35.34576864
324,18.92,29.02273206,,,22.00619731,,,20.06359464
325,17.24,13.00142857,,,18.69085054,,,17.32542545
326,18.76,21.70433333,,,18.66316271,,,19.82269723
327,20.04,21.70433333,,,18.30623743,,,18.41237259
328,18.61,13.00142857,,,17.67395667,,,19.63188608
329,13.77,13.00142857,,,17.87105532,,,14.8251193
330,17.8,13.00142857,,,18.19602176,,,18.11099643
331,16.09,13.00142857,,,17.87464492,,,15.27141011
332,19.41,14.54,,,18.13932993,,,18.03359295
333,21.4,21.70433333,,,19.57584402,,,21.1643889
334,21.21,21.70433333,,,18.93236613,,,17.50096861
335,14.99,13.00142857,,,16.55078034,,,15.44443851
336,12.88,13.00142857,,,15.86403135,,,14.86602223
337,11.36,13.00142857,,,15.96549575,,,12.33702355
338,11.2,13.00142857,,,16.24722758,,,11.73423068
339,11.14,13.00142857,,,16.22250195,,,13.4517042
340,13.27,14.54,,,16.60465939,,,14.67019583
341,14.19,13.00142857,,,17.16670464,,,16.13762501
342,15.41,14.54,,,17.23234704,,,16.99100946
343,15.61,14.54,,,17.01382096,,,14.12713209
344,14,21.70433333,,,17.0890193,,,16.04592596
345,21.06,21.70433333,,,20.01709993,,,20.93147375
346,12.78,14.54,,,17.24281539,,,14.19308443
347,14.2,14.54,,,17.21040039,,,15.14467917
348,14.01,14.54,,,15.76170653,,,12.7234762
349,16.73,14.54,,,19.08595812,,,16.78777184
350,35.85,38.3775,,,37.85620197,,,36.33299445
351,37.15,38.3775,,,39.73456465,,,36.38462533
352,24.43,21.03875,,,24.89457299,,,25.92106656
353,17.9,14.54,,,18.39850077,,,16.55254465
354,12.69,13.00142857,,,16.61949539,,,12.95440485
355,10.71,13.00142857,,,16.81431746,,,13.30943261
356,12.24,13.00142857,,,14.97395886,,,8.853587821
357,13.49,13.00142857,,,14.41986157,,,11.63004126
