PM10
123.47
160.01
133.68
126.96
142.26
131.47
84.88
147.1
72.56
122.57
124.23
212.48
143.27
164.32
99.32
114.91
59.38
63.54
63.1
64.08
86.96
71.27
73.3
65.43
53.24
49.81
41.37
43.88
48.52
60.39
70.85
68.86
67.42
55.04
62.76
65.74
67.81
54.54
53.7
76.81
65.01
72.25
67.59
63.47
75.54
61.53
57.68
53.44
66.46
68.85
61.94
74.03
73.69
73.49
73.49
75.66
86.36
82.52
70.93
67.71
78
69.13
80.14
79.38
72.94
75.33
82.96244073
82.96244073
82.96244073
82.96244073
78.42
72.39
85.33
72.79
75.42
79.52
77.29
73.55
75.05
76.88
66.94
80.53
80.72
82.74
74.92
77.42
50.11
25
25
25
41.19
63.38
88.51
95.19
72.71
78.42
74.01
64.02
46.35
105.56
48.9
81.84
113.66
82.96244073
70.14
82
70.7
67.51
80.94
85.14
93.65
63.66
65.34
100
95
64.43
76
86.8
78.39
89.46
107.44
97.26
75.34
101.56
102.31
82.82
71.61
68.31
64.19
57.16
64.67
74.48
78.03
81.22
81.22
88.73
98.18
104.36
98.22
88.06
95.99
93.79
91.35
91.08
105.73
99.08
94.95
98.9
95.05
91.36
91.32
91.06
99.67
106.52
81.79
95.58
73.67
77
70.83
67.26
83.58
83.42
81.48
81.13
79.9
72.67
82.94
73.38
76.34
71.82
69.73
59.82
63.06
65.01
68.31
67.49
73.72
69.88
69.69
63.67
65.63
82.96244073
64.73
67.89
67.84
74.46
77.71
71.73
82.51
83.14
83.03
76.23
70.96
70.86
73.42
82.96244073
82.96244073
82.96244073
82.96244073
82.96244073
82.96244073
82.96244073
82.96244073
82.96244073
116.49
57.23
42.91
40.36
35.62
43.27
43.79
44.66
59.09
70.78
80.25
76.13
82.14
97.04
85.37
71.25
68.48
78.68
74.47
82
70.68
103.63
68.87
76.62
74.81
67.92
61.01
65.57
67.51
67.47
82.96244073
61.83
69.07
65.47
59.68
60.34
62.45
62.75
63.37
59.61
62.64
67.77
67.77
68.16
60.15
65.93
71.06
73.35
62.67
58.22
56.39
70.81
67.89
57.18
60.69
54.48
64.87
