PM2_5
37.1
67.45
30.56
45.86
36.93
61.59
38.37
65.69
53.05
57.54
61.38
69.29
62.62
45.26
43.64
51.85
37.8
17.28
49.39
58.4
67.35
46.73
48.44
45.33
38.27
36.99
26.77
29.58
25.66
41.91
43.91
49.55
43
34.39
34.73
41.29
42.93
69.05
27.52
38.31
30.56
38.28
42.29
38.32
47.32
34.01
36.23
34.85
41.07
46.56
39.86
54.85
55.15
54.56
54.56
42.88
46.72
42.86
33.73
36.79
47.92
42.93
47.34
42.22
39.74
42.69
38.30164122
38.30164122
38.30164122
38.30164122
47.61
45.29
39.7
32.41
33.65
38.81
30.36
36.58
38.81
44.46
36.24
38.51
41
43.43
13.94
21.4
34.18
29.25
31.74
9.89
20.89
38.67
46.56
45.93
33.02
28.17
34.76
27.05
12.22
30.64
26.59
37.73
56.2
38.30164122
41.67
45.71
56.27
41.06
24.25
24.49
25.04
30.69
46.62
38.51
62.42
48.27
18.2
0.02
28.71
58.71
76.39
68.12
51
60
25.81
30.29
45.04
37.11
63.43
25.55
30.89
66.67
72.16
35.66
35.66
43.94
53.24
47.07
42.39
42.17
37.21
39.95
27.32
75.24
46.05
58.11
62.28
59.89
56.6
48.04
38.85
51.3
62.17
66.06
36.54
43.53
28.5
32.28
16.7
76.42
42.76
24.75
41.65
39.76
47.4
29.51
29.06
26.31
26.54
18.4
28.14
16.31
17.22
16.82
18.69
16.46
19.24
18.29
20.35
17.11
14.73
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
30.73
19.85
15.72
20.67
33.3
24.87
33.34
31.71
61.91
52.46
27
30.57
39.31
35.24
28.22
25.28
22.42
20.01
14.22
25.25
23.04
25.37
23.49
23.23
30.64
36.9
27.05
25.99
24.14
26.64
38.30164122
40.27
21.7
26.15
27.3
28.65
31.08
40.93
31.71
27.91
23.23
16.48
16.48
19.66
28.31
31.16
28.14
34.45
36.95
30.58
28.36
29.26
19.73
25.8
18.52
36.95
32.85
22.78
28.53
46.27
28.84
23.08
28.92
27.69
27.2
21.47
19.11
24.95
33.03
33.89
28.25
26.74
37.37
43.01
32.59
30.71
40.89
43.57
42.87
23.78
28.61
21.7
21.77
20.7
31.48
31.15
24.09
26.91
25.16
20.87
31.34
28.79
30.52
24.68
27.44
32.34
32.92
32.2
35.01
36.99
36.78
45.99
50.41
44.41
44.6
46.95
42.97
49.94
46.42
54.68
51.92
46.4
52.7
51.81
52.51
48.91
49.71
53.74
49.51
50.19
43.38
49.42
55.8
45.8
38.12
41.59
48.96
42.18
44.24
50.25
47.04
55.84
29.89
52.08
32.41
43.38
45.09
44.71
48.18
61.29
61.45
60.04
44.39
47.49
47.53
48.51
50.41
47.91
46.8
40.71
40.89
44.29
38.64
67.28
62.87
48.26
52.94
41.35
42.76
47.27
49.02
39.38
40.62
47.39
50.68
58.52
72.13
54.12
33.36
37.81
43.54
40.43
51.39
54.72
48.7
48.41
49.85
53.58
54.18
46.71
35.12
36.57
32.14
32.72
33.99
29.83
45.23
46.15
42.71
52.88
47.65
42.65
38.13
35.18
35.77
39.71
41.15
45.7
56.93
41.4
42.02
48.13
51.11
57.92
51.05
52.57
59.86
42.07
52.39
42.04
53.56
49.44
40.37
29.17
29.76
34.24
26.76
34.35
35.98
36.89
37.14
34.82
28.15
22.23
25.83
22.99
43.71
46.75
41
32.62
25.55
48.48
54.55
35.8
40.68
39.53
27.9
30.29
19.72
26.08
14.97
22.14
16.52
15.51
20.42
16.29
22.59
26.04
26.14
24
20.88
20.16
19.87
26.94
23.59
24.84
27.39
26.04
29.5
24.91
23.32
21.76
21.62
19.6
18.62
21.1
23.8
16.34
17.6
16.72
17.09
21.1
12.68
7.28
9.54
11.42
12.57
12.72
14.61
14.29
12.49
12.58
12.62
12.5
12.53
12.56
12.52
12.46
12.65
12.39
12.49
12.53
12.46
12.48
12.51
12.41
12.58
12.54
12.65
14.43
15.59
15.48
15.59
15.58
15.55
15.26
22.17
15.13
25.97
27.41
32.36
20.76
24.28
24.89
20.96
19.7
13.4
15.94
12.26
16.11
11.23
15.84
12.27
13.76
16.66
14.16
12.65
20.51
19.93
15.71
16.97
12.93
17.48
16.3
17.97
14.45
13.25
14.84
15.83
15.45
18.47
13.03
13.2
18.78
17.22
16.55
16.86
14.24
13.79
13.35
14.47
14.67
15.45
17.94
15.49
20.4
17.91
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
16.04
15.76
16.45
12.96
13.63
15.28
12.7
14.3
14.86
16.1
15.92
17.53
14.85
16.45
18.89
16.07
19.78
16.88
15.2
16.5
16.07
17.09
17.29
16.63
15.75
19.33
16.21
15.1
17.26
15.36
16.97
15.6
14.38
17.6
21.8
17.6
16.55
15.89
17.33
19.35
17.03
23.56
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
38.30164122
23.32
21.78
24.8
23.47
27.7
26.06
24.4
34.79
40.07
34.13
41.13
26.93
19.25
20.38
22.9
22.72
31.06
31.23
31.43
36.29
28.91
30.94
